,description,header,products,subtitles,time,title,titleUrl,activity_datetime,hour
7489,Laidback Luke,Google Play Music,['Google Play Music'],,2018-11-20T08:07:55.138Z,Skipped Show Me Love (Radio Edit),,2018-11-20 08:07:55.138000+00:00,8
7490,Laidback Luke,Google Play Music,['Google Play Music'],,2018-11-20T08:07:55.057Z,Listened to Show Me Love (Radio Edit),,2018-11-20 08:07:55.057000+00:00,8
7491,Darude,Google Play Music,['Google Play Music'],,2018-11-20T08:04:57.002Z,Skipped Sandstorm,,2018-11-20 08:04:57.002000+00:00,8
7492,Darude,Google Play Music,['Google Play Music'],,2018-11-20T08:04:56.913Z,Listened to Sandstorm,,2018-11-20 08:04:56.913000+00:00,8
7493,Room 5,Google Play Music,['Google Play Music'],,2018-11-20T08:04:52.286Z,Skipped Make Luv (Live) (feat. Oliver Cheatham),,2018-11-20 08:04:52.286000+00:00,8
7494,Room 5,Google Play Music,['Google Play Music'],,2018-11-20T08:04:52.204Z,Listened to Make Luv (Live) (feat. Oliver Cheatham),,2018-11-20 08:04:52.204000+00:00,8
7495,Chicane,Google Play Music,['Google Play Music'],,2018-11-20T08:04:02.454Z,Skipped Don't Give Up,,2018-11-20 08:04:02.454000+00:00,8
7496,Chicane,Google Play Music,['Google Play Music'],,2018-11-20T08:04:02.363Z,Listened to Don't Give Up,,2018-11-20 08:04:02.363000+00:00,8
7497,The Original,Google Play Music,['Google Play Music'],,2018-11-20T08:03:58.719Z,Skipped I Luv U Baby (Radio mix),,2018-11-20 08:03:58.719000+00:00,8
7498,The Original,Google Play Music,['Google Play Music'],,2018-11-20T08:03:58.644Z,Listened to I Luv U Baby (Radio mix),,2018-11-20 08:03:58.644000+00:00,8
7499,Robert Cohen,Google Play Music,['Google Play Music'],,2018-11-19T18:44:32.718Z,"Listened to Cello Suite No. 1 in G Major, BWV 1007: I. Prelude",,2018-11-19 18:44:32.718000+00:00,18
7500,European Philharmonic Orchestra,Google Play Music,['Google Play Music'],,2018-11-19T18:41:52.344Z,Listened to The Carnival of the Animals: XIII. The Swan,,2018-11-19 18:41:52.344000+00:00,18
7501,Alison Limerick,Google Play Music,['Google Play Music'],,2018-11-19T18:39:11.236Z,Listened to Where Love Lives (Radio Edit),,2018-11-19 18:39:11.236000+00:00,18
7502,Olive,Google Play Music,['Google Play Music'],,2018-11-19T14:54:10.534Z,Listened to You're Not Alone (Radio Edit),,2018-11-19 14:54:10.534000+00:00,14
7503,Tiësto,Google Play Music,['Google Play Music'],,2018-11-19T14:50:00.083Z,Listened to Adagio For Strings,,2018-11-19 14:50:00.083000+00:00,14
7504,Puretone,Google Play Music,['Google Play Music'],,2018-11-19T14:46:33.253Z,Listened to Addicted To Bass (Apollo 440 Mix),,2018-11-19 14:46:33.253000+00:00,14
7505,Planet Funk,Google Play Music,['Google Play Music'],,2018-11-19T14:42:41.585Z,Listened to Chase the Sun,,2018-11-19 14:42:41.585000+00:00,14
7506,The Ones,Google Play Music,['Google Play Music'],,2018-11-19T14:38:48.528Z,Listened to Flawless (Radio Edit),,2018-11-19 14:38:48.528000+00:00,14
7507,Groove Armada,Google Play Music,['Google Play Music'],,2018-11-19T14:35:37.825Z,Listened to If Everybody Looked the Same,,2018-11-19 14:35:37.825000+00:00,14
7508,Michael Gray,Google Play Music,['Google Play Music'],,2018-11-19T14:31:59.297Z,Listened to The Weekend (Radio Edit),,2018-11-19 14:31:59.297000+00:00,14
7509,Grace,Google Play Music,['Google Play Music'],,2018-11-19T14:28:47.124Z,Listened to Not Over Yet (Perfecto Edit),,2018-11-19 14:28:47.124000+00:00,14
7510,The Chemical Brothers,Google Play Music,['Google Play Music'],,2018-11-19T14:21:07.332Z,Skipped Hey Boy Hey Girl,,2018-11-19 14:21:07.332000+00:00,14
7511,The Chemical Brothers,Google Play Music,['Google Play Music'],,2018-11-19T14:21:07.259Z,Listened to Hey Boy Hey Girl,,2018-11-19 14:21:07.259000+00:00,14
7512,Rui Da Silva,Google Play Music,['Google Play Music'],,2018-11-19T14:15:17.079Z,Listened to Touch Me (Radio Edit) (feat. Cassandra),,2018-11-19 14:15:17.079000+00:00,14
7513,Sam Sparro,Google Play Music,['Google Play Music'],,2018-11-19T14:11:49.979Z,Listened to Black & Gold (Marcussen Album Version),,2018-11-19 14:11:49.979000+00:00,14
7514,Nightcrawlers,Google Play Music,['Google Play Music'],,2018-11-19T14:07:03.517Z,Listened to Push The Feeling On (Remix),,2018-11-19 14:07:03.517000+00:00,14
7515,Swedish House Mafia,Google Play Music,['Google Play Music'],,2018-11-19T14:03:29.108Z,Listened to One,,2018-11-19 14:03:29.108000+00:00,14
7516,Ultra Naté,Google Play Music,['Google Play Music'],,2018-11-19T14:00:39.189Z,Listened to Free (Mood II Swing Radio Edit),,2018-11-19 14:00:39.189000+00:00,14
7517,The Prodigy,Google Play Music,['Google Play Music'],,2018-11-19T13:56:45.913Z,Listened to No Good (Start the Dance),,2018-11-19 13:56:45.913000+00:00,13
7518,Da Hool,Google Play Music,['Google Play Music'],,2018-11-19T13:50:28.028Z,Listened to Meet Her At The Loveparade (Radio Edit),,2018-11-19 13:50:28.028000+00:00,13
7519,Ultra Naté,Google Play Music,['Google Play Music'],,2018-11-19T13:46:54.460Z,Skipped Free (Mood II Swing Radio Edit),,2018-11-19 13:46:54.460000+00:00,13
7520,Tiësto,Google Play Music,['Google Play Music'],,2018-11-19T13:44:48.303Z,Skipped Adagio For Strings,,2018-11-19 13:44:48.303000+00:00,13
7521,Tiësto,Google Play Music,['Google Play Music'],,2018-11-19T13:44:48.214Z,Listened to Adagio For Strings,,2018-11-19 13:44:48.214000+00:00,13
7522,Benny Benassi,Google Play Music,['Google Play Music'],,2018-11-19T13:44:39.789Z,Listened to Cinema (feat. Gary Go),,2018-11-19 13:44:39.789000+00:00,13
7523,Tim Deluxe,Google Play Music,['Google Play Music'],,2018-11-19T12:52:38.467Z,Skipped It Just Won't Do (Radio Edit) [feat. Sam Obernik],,2018-11-19 12:52:38.467000+00:00,12
7524,Tim Deluxe,Google Play Music,['Google Play Music'],,2018-11-19T12:52:38.366Z,Listened to It Just Won't Do (Radio Edit) [feat. Sam Obernik],,2018-11-19 12:52:38.366000+00:00,12
7525,The Ones,Google Play Music,['Google Play Music'],,2018-11-19T12:52:34.304Z,Skipped Flawless (Radio Edit),,2018-11-19 12:52:34.304000+00:00,12
7526,The Ones,Google Play Music,['Google Play Music'],,2018-11-19T12:52:34.221Z,Listened to Flawless (Radio Edit),,2018-11-19 12:52:34.221000+00:00,12
7527,Robert Miles,Google Play Music,['Google Play Music'],,2018-11-19T12:52:22.587Z,Skipped Children,,2018-11-19 12:52:22.587000+00:00,12
7528,Robert Miles,Google Play Music,['Google Play Music'],,2018-11-19T12:52:21.065Z,Listened to Children,,2018-11-19 12:52:21.065000+00:00,12
7529,Bob Sinclar,Google Play Music,['Google Play Music'],,2018-11-19T12:10:10.033Z,"Listened to World, Hold On (feat. Steve Edwards)",,2018-11-19 12:10:10.033000+00:00,12
7530,Olive,Google Play Music,['Google Play Music'],,2018-11-19T12:06:49.628Z,Listened to You're Not Alone (Radio Edit),,2018-11-19 12:06:49.628000+00:00,12
7531,Mylo,Google Play Music,['Google Play Music'],,2018-11-19T12:02:39.181Z,Listened to In My Arms (Radio Edit),,2018-11-19 12:02:39.181000+00:00,12
7532,Yanou,Google Play Music,['Google Play Music'],,2018-11-19T11:59:27.221Z,Listened to Heaven (Radio Edit) (feat. Do),,2018-11-19 11:59:27.221000+00:00,11
7533,Puretone,Google Play Music,['Google Play Music'],,2018-11-19T11:55:31.684Z,Skipped Addicted To Bass (Apollo 440 Mix),,2018-11-19 11:55:31.684000+00:00,11
7534,Puretone,Google Play Music,['Google Play Music'],,2018-11-19T11:55:31.593Z,Listened to Addicted To Bass (Apollo 440 Mix),,2018-11-19 11:55:31.593000+00:00,11
7535,Planet Funk,Google Play Music,['Google Play Music'],,2018-11-19T11:54:19.850Z,Listened to Chase the Sun,,2018-11-19 11:54:19.850000+00:00,11
7536,Grace,Google Play Music,['Google Play Music'],,2018-11-19T11:50:26.799Z,Listened to Not Over Yet (Perfecto Edit),,2018-11-19 11:50:26.799000+00:00,11
7537,The Chemical Brothers,Google Play Music,['Google Play Music'],,2018-11-19T11:42:47.112Z,Listened to Hey Boy Hey Girl,,2018-11-19 11:42:47.112000+00:00,11
7538,ATB,Google Play Music,['Google Play Music'],,2018-11-19T11:37:56.600Z,Listened to 9PM [Till I Come],,2018-11-19 11:37:56.600000+00:00,11
7539,Sam Sparro,Google Play Music,['Google Play Music'],,2018-11-19T11:34:42.741Z,Listened to Black & Gold (Marcussen Album Version),,2018-11-19 11:34:42.741000+00:00,11
7540,Studio B,Google Play Music,['Google Play Music'],,2018-11-19T11:30:08.576Z,Listened to I See Girls (Tom Neville Radio Edit),,2018-11-19 11:30:08.576000+00:00,11
7541,Michael Gray,Google Play Music,['Google Play Music'],,2018-11-19T11:27:06.489Z,Listened to The Weekend (Radio Edit),,2018-11-19 11:27:06.489000+00:00,11
7542,Alison Limerick,Google Play Music,['Google Play Music'],,2018-11-19T11:23:54.326Z,Listened to Where Love Lives (Radio Edit),,2018-11-19 11:23:54.326000+00:00,11
7543,Groove Armada,Google Play Music,['Google Play Music'],,2018-11-19T11:20:06.281Z,Skipped If Everybody Looked the Same,,2018-11-19 11:20:06.281000+00:00,11
7544,Groove Armada,Google Play Music,['Google Play Music'],,2018-11-19T11:20:06.238Z,Listened to If Everybody Looked the Same,,2018-11-19 11:20:06.238000+00:00,11
7545,The Prodigy,Google Play Music,['Google Play Music'],,2018-11-19T11:20:03.799Z,Skipped No Good (Start the Dance),,2018-11-19 11:20:03.799000+00:00,11
7546,The Prodigy,Google Play Music,['Google Play Music'],,2018-11-19T11:20:03.716Z,Listened to No Good (Start the Dance),,2018-11-19 11:20:03.716000+00:00,11
7547,Nightcrawlers,Google Play Music,['Google Play Music'],,2018-11-19T11:19:51.935Z,Skipped Push The Feeling On (Remix),,2018-11-19 11:19:51.935000+00:00,11
7548,Nightcrawlers,Google Play Music,['Google Play Music'],,2018-11-19T11:19:51.852Z,Listened to Push The Feeling On (Remix),,2018-11-19 11:19:51.852000+00:00,11
7549,Swedish House Mafia,Google Play Music,['Google Play Music'],,2018-11-19T09:59:32.104Z,Skipped One,,2018-11-19 09:59:32.104000+00:00,9
7550,Swedish House Mafia,Google Play Music,['Google Play Music'],,2018-11-19T09:59:32.001Z,Listened to One,,2018-11-19 09:59:32.001000+00:00,9
7551,Rui Da Silva,Google Play Music,['Google Play Music'],,2018-11-19T09:57:16.223Z,Listened to Touch Me (Radio Edit) (feat. Cassandra),,2018-11-19 09:57:16.223000+00:00,9
7552,U2,Google Play Music,['Google Play Music'],,2018-11-19T09:53:48.939Z,Listened to Sunday Bloody Sunday,,2018-11-19 09:53:48.939000+00:00,9
7553,U2,Google Play Music,['Google Play Music'],,2018-11-18T22:21:01.383Z,Listened to I Still Haven't Found What I'm Looking For,,2018-11-18 22:21:01.383000+00:00,22
7554,U2,Google Play Music,['Google Play Music'],,2018-11-18T22:16:23.491Z,Listened to With Or Without You,,2018-11-18 22:16:23.491000+00:00,22
7555,U2,Google Play Music,['Google Play Music'],,2018-11-18T22:11:27.938Z,Skipped New Year's Day,,2018-11-18 22:11:27.938000+00:00,22
7556,U2,Google Play Music,['Google Play Music'],,2018-11-18T22:11:27.837Z,Listened to New Year's Day (Edit),,2018-11-18 22:11:27.837000+00:00,22
7557,U2,Google Play Music,['Google Play Music'],,2018-11-18T22:07:26.113Z,Skipped Pride (In The Name Of Love),,2018-11-18 22:07:26.113000+00:00,22
7558,U2,Google Play Music,['Google Play Music'],,2018-11-18T22:07:26.030Z,Listened to Pride (In The Name Of Love),,2018-11-18 22:07:26.030000+00:00,22
7559,Arctic Monkeys,Google Play Music,['Google Play Music'],,2018-11-18T22:03:50.431Z,Listened to Brianstorm,,2018-11-18 22:03:50.431000+00:00,22
7560,Robbie Williams,Google Play Music,['Google Play Music'],,2018-11-18T22:03:11.372Z,Listened to Win Some Lose Some,,2018-11-18 22:03:11.372000+00:00,22
7561,Robbie Williams,Google Play Music,['Google Play Music'],,2018-11-18T19:32:10.886Z,Listened to Phoenix From The Flames,,2018-11-18 19:32:10.886000+00:00,19
7562,Robbie Williams,Google Play Music,['Google Play Music'],,2018-11-18T19:28:08.463Z,Listened to Millennium,,2018-11-18 19:28:08.463000+00:00,19
7563,Robbie Williams,Google Play Music,['Google Play Music'],,2018-11-18T19:24:00.887Z,Listened to No Regrets,,2018-11-18 19:24:00.887000+00:00,19
7564,Robbie Williams,Google Play Music,['Google Play Music'],,2018-11-18T19:18:50.259Z,Listened to Strong,,2018-11-18 19:18:50.259000+00:00,19
7565,The Rolling Stones,Google Play Music,['Google Play Music'],,2018-11-18T18:41:49.165Z,Listened to Salt Of The Earth,,2018-11-18 18:41:49.165000+00:00,18
7566,Willie Nelson,Google Play Music,['Google Play Music'],,2018-11-17T18:04:57.170Z,Listened to On the Road Again (Live),,2018-11-17 18:04:57.170000+00:00,18
7567,Elvis Presley,Google Play Music,['Google Play Music'],,2018-11-17T17:59:15.504Z,Listened to Way Down,,2018-11-17 17:59:15.504000+00:00,17
7568,Miriam Makeba,Google Play Music,['Google Play Music'],,2018-11-17T17:59:00.183Z,Skipped Pata Pata,,2018-11-17 17:59:00.183000+00:00,17
7569,Miriam Makeba,Google Play Music,['Google Play Music'],,2018-11-17T17:59:00.099Z,Listened to Pata Pata,,2018-11-17 17:59:00.099000+00:00,17
7570,Munich Symphony Orchestra,Google Play Music,['Google Play Music'],,2018-11-17T11:04:03.285Z,"Listened to Violin Concerto in D Major, Op. 77: I. Allegro Ma Non Troppo",,2018-11-17 11:04:03.285000+00:00,11
7571,Philharmonia Slavonica,Google Play Music,['Google Play Music'],,2018-11-17T10:42:55.735Z,"Skipped Violin Concerto in D Minor, Op. 47: III. Allegro, Ma Non Tanto",,2018-11-17 10:42:55.735000+00:00,10
7572,Philharmonia Slavonica,Google Play Music,['Google Play Music'],,2018-11-17T10:42:55.694Z,"Listened to Violin Concerto in D Minor, Op. 47: III. Allegro, Ma Non Tanto",,2018-11-17 10:42:55.694000+00:00,10
7573,Philharmonia Slavonica,Google Play Music,['Google Play Music'],,2018-11-17T10:41:26.487Z,"Listened to Violin Concerto in D Minor, Op. 47: II. Adagio Di Molto",,2018-11-17 10:41:26.487000+00:00,10
7574,Philharmonia Slavonica,Google Play Music,['Google Play Music'],,2018-11-17T10:32:58.549Z,"Skipped Violin Concerto in D Minor, Op. 47: I. Allegro Moderato",,2018-11-17 10:32:58.549000+00:00,10
7575,Philharmonia Slavonica,Google Play Music,['Google Play Music'],,2018-11-17T10:32:58.461Z,"Listened to Violin Concerto in D Minor, Op. 47: I. Allegro Moderato",,2018-11-17 10:32:58.461000+00:00,10
7576,Camerata Romana,Google Play Music,['Google Play Music'],,2018-11-17T10:32:17.970Z,"Listened to Violin Concerto in E Major, BWV 1042: III. Allegro Assai",,2018-11-17 10:32:17.970000+00:00,10
7577,Camerata Romana,Google Play Music,['Google Play Music'],,2018-11-17T10:29:30.408Z,"Listened to Violin Concerto in E Major, BWV 1042: II. Adagio",,2018-11-17 10:29:30.408000+00:00,10
7578,Camerata Romana,Google Play Music,['Google Play Music'],,2018-11-17T10:22:42.208Z,"Listened to Violin Concerto in E Major, BWV 1042: I. Allegro",,2018-11-17 10:22:42.208000+00:00,10
7579,Slovak Philharmonic Orchestra,Google Play Music,['Google Play Music'],,2018-11-17T10:14:17.324Z,"Listened to Serenade No. 13 in G Major, K. 525 ""Eine Kleine Nachtmusik"": IV. Rondo - Allegro",,2018-11-17 10:14:17.324000+00:00,10
7580,Slovak Philharmonic Orchestra,Google Play Music,['Google Play Music'],,2018-11-17T10:10:53.642Z,"Listened to Serenade No. 13 in G Major, K. 525 ""Eine Kleine Nachtmusik"": III. Menuetto - Allegretto",,2018-11-17 10:10:53.642000+00:00,10
7581,Slovak Philharmonic Orchestra,Google Play Music,['Google Play Music'],,2018-11-17T10:08:34.700Z,"Listened to Serenade No. 13 in G Major, K. 525 ""Eine Kleine Nachtmusik"": II. Romanze - Andante",,2018-11-17 10:08:34.700000+00:00,10
7582,Slovak Philharmonic Orchestra,Google Play Music,['Google Play Music'],,2018-11-17T10:01:49.795Z,"Listened to Serenade No. 13 in G Major, K. 525 ""Eine Kleine Nachtmusik"": I. Allegro",,2018-11-17 10:01:49.795000+00:00,10
7583,Darude,Google Play Music,['Google Play Music'],,2018-11-16T18:41:34.235Z,Skipped Sandstorm,,2018-11-16 18:41:34.235000+00:00,18
7584,Darude,Google Play Music,['Google Play Music'],,2018-11-16T18:41:34.161Z,Listened to Sandstorm,,2018-11-16 18:41:34.161000+00:00,18
7585,Zombie Nation,Google Play Music,['Google Play Music'],,2018-11-16T18:37:56.797Z,Skipped Kernkraft 400 (Original Radio Edit) (feat. DJ Gius),,2018-11-16 18:37:56.797000+00:00,18
7586,Zombie Nation,Google Play Music,['Google Play Music'],,2018-11-16T18:37:56.751Z,Listened to Kernkraft 400 (Original Radio Edit) (feat. DJ Gius),,2018-11-16 18:37:56.751000+00:00,18
7587,Eric Prydz,Google Play Music,['Google Play Music'],,2018-11-16T18:34:45.216Z,Listened to Pjanoo (Radio Edit),,2018-11-16 18:34:45.216000+00:00,18
7588,Motorcycle,Google Play Music,['Google Play Music'],,2018-11-16T18:32:06.073Z,Listened to As The Rush Comes,,2018-11-16 18:32:06.073000+00:00,18
7589,The Ones,Google Play Music,['Google Play Music'],,2018-11-16T18:30:57.153Z,Listened to Flawless (Radio Edit),,2018-11-16 18:30:57.153000+00:00,18
7590,Basement Jaxx,Google Play Music,['Google Play Music'],,2018-11-16T18:30:49.764Z,Skipped Red Alert,,2018-11-16 18:30:49.764000+00:00,18
7591,Basement Jaxx,Google Play Music,['Google Play Music'],,2018-11-16T18:30:49.681Z,Listened to Red Alert,,2018-11-16 18:30:49.681000+00:00,18
7592,Wamdue Project,Google Play Music,['Google Play Music'],,2018-11-16T18:30:46.580Z,Skipped King Of My Castle (Radio Edit),,2018-11-16 18:30:46.580000+00:00,18
7593,Wamdue Project,Google Play Music,['Google Play Music'],,2018-11-16T18:30:46.500Z,Listened to King Of My Castle (Radio Edit),,2018-11-16 18:30:46.500000+00:00,18
7594,Alex Gaudino,Google Play Music,['Google Play Music'],,2018-11-16T18:30:44.499Z,Listened to What A Feeling (feat. Kelly Rowland) (Radio Edit),,2018-11-16 18:30:44.499000+00:00,18
7595,Martin Solveig,Google Play Music,['Google Play Music'],,2018-11-16T18:30:13.774Z,Listened to Rejection (Radio Edit),,2018-11-16 18:30:13.774000+00:00,18
7596,Megan Davies,Google Play Music,['Google Play Music'],,2018-11-16T18:29:57.825Z,Listened to Bad Blood (feat. Luke Preston) [Acoustic Cover],,2018-11-16 18:29:57.825000+00:00,18
7597,Elise Lieberth,Google Play Music,['Google Play Music'],,2018-11-16T18:25:20.271Z,Listened to Titanium,,2018-11-16 18:25:20.271000+00:00,18
7598,Tyler Ward,Google Play Music,['Google Play Music'],,2018-11-16T18:21:22.256Z,Listened to Closer,,2018-11-16 18:21:22.256000+00:00,18
7599,Nause,Google Play Music,['Google Play Music'],,2018-11-16T18:17:44.444Z,Skipped Another You (Daniel Gidlund Acoustic Version),,2018-11-16 18:17:44.444000+00:00,18
7600,Nause,Google Play Music,['Google Play Music'],,2018-11-16T18:17:44.379Z,Listened to Another You (Daniel Gidlund Acoustic Version),,2018-11-16 18:17:44.379000+00:00,18
7601,Oli Reynolds,Google Play Music,['Google Play Music'],,2018-11-16T18:09:01.084Z,"Listened to Hey Brother, Timber, Counting Stars (Mash Up)",,2018-11-16 18:09:01.084000+00:00,18
7602,Anna Naklab,Google Play Music,['Google Play Music'],,2018-11-16T18:04:38.038Z,Listened to Supergirl (Acoustic Version),,2018-11-16 18:04:38.038000+00:00,18
7603,Martin Garrix,Google Play Music,['Google Play Music'],,2018-11-16T18:01:25.603Z,Listened to Scared to Be Lonely (Acoustic Version),,2018-11-16 18:01:25.603000+00:00,18
7604,Scott Chapman,Google Play Music,['Google Play Music'],,2018-11-16T17:57:08.261Z,Listened to Starships (Acoustic Cover),,2018-11-16 17:57:08.261000+00:00,17
7605,Jasmine Thompson,Google Play Music,['Google Play Music'],,2018-11-16T17:54:29.276Z,Listened to Ain't Nobody (Loves Me Better) [Acoustic],,2018-11-16 17:54:29.276000+00:00,17
7606,Swedish House Mafia,Google Play Music,['Google Play Music'],,2018-11-16T17:51:30.951Z,Listened to Don't You Worry Child (Acoustic Version) (feat. John Martin),,2018-11-16 17:51:30.951000+00:00,17
7607,The Vamps,Google Play Music,['Google Play Music'],,2018-11-16T17:47:12.815Z,Skipped All Night (Acoustic),,2018-11-16 17:47:12.815000+00:00,17
7608,The Vamps,Google Play Music,['Google Play Music'],,2018-11-16T17:47:12.726Z,Listened to All Night (Acoustic),,2018-11-16 17:47:12.726000+00:00,17
7609,The Cinematic Film Band,Google Play Music,['Google Play Music'],,2018-11-16T17:46:55.826Z,"Listened to Get Up (I Feel Like Being A) Sex Machine [From ""Lock, Stock and Two Smoking Barrels""]",,2018-11-16 17:46:55.826000+00:00,17
7610,Bert Kaempfert and His Orchestra,Google Play Music,['Google Play Music'],,2018-11-16T17:37:13.019Z,Listened to Skokiaan (South African Song) [Remastered 2016],,2018-11-16 17:37:13.019000+00:00,17
7611,Bert Kaempfert and His Orchestra,Google Play Music,['Google Play Music'],,2018-11-16T17:34:22.714Z,Listened to Black Beauty (Remastered 2016),,2018-11-16 17:34:22.714000+00:00,17
7612,Bert Kaempfert and His Orchestra,Google Play Music,['Google Play Music'],,2018-11-16T17:31:46.476Z,Listened to Sunday in Madrid (Remastered 2016),,2018-11-16 17:31:46.476000+00:00,17
7613,Bert Kaempfert and His Orchestra,Google Play Music,['Google Play Music'],,2018-11-16T17:28:56.474Z,Listened to Wimoweh (Remastered 2016),,2018-11-16 17:28:56.474000+00:00,17
7614,Bert Kaempfert and His Orchestra,Google Play Music,['Google Play Music'],,2018-11-16T17:26:15.478Z,Listened to Tootie Flutie (Remastered 2016),,2018-11-16 17:26:15.478000+00:00,17
7615,Bert Kaempfert and His Orchestra,Google Play Music,['Google Play Music'],,2018-11-16T17:24:06.797Z,Listened to Happy Trumpeter (Magic Trumpet) [Remastered 2016],,2018-11-16 17:24:06.797000+00:00,17
7616,Bert Kaempfert and His Orchestra,Google Play Music,['Google Play Music'],,2018-11-16T17:21:30.458Z,Listened to Zambesi (Remastered 2016),,2018-11-16 17:21:30.458000+00:00,17
7617,Bert Kaempfert and His Orchestra,Google Play Music,['Google Play Music'],,2018-11-16T17:18:41.894Z,Listened to Similau (Remastered 2016),,2018-11-16 17:18:41.894000+00:00,17
7618,Bert Kaempfert and His Orchestra,Google Play Music,['Google Play Music'],,2018-11-16T17:15:44.730Z,Listened to Take Me (Remastered 2016),,2018-11-16 17:15:44.730000+00:00,17
7619,Bert Kaempfert and His Orchestra,Google Play Music,['Google Play Music'],,2018-11-16T17:12:41.749Z,Listened to Market Day (Remastered 2016),,2018-11-16 17:12:41.749000+00:00,17
7620,Bert Kaempfert and His Orchestra,Google Play Music,['Google Play Music'],,2018-11-16T17:10:10.591Z,Listened to A Swingin' Safari (Remastered 2016),,2018-11-16 17:10:10.591000+00:00,17
7621,Bert Kaempfert and His Orchestra,Google Play Music,['Google Play Music'],,2018-11-16T17:07:03.465Z,Listened to That Happy Feeling (Remastered 2016),,2018-11-16 17:07:03.465000+00:00,17
7622,Chet Baker,Google Play Music,['Google Play Music'],,2018-11-16T09:53:42.803Z,Listened to Tis Autumn,,2018-11-16 09:53:42.803000+00:00,9
7623,Avicii,Google Play Music,['Google Play Music'],,2018-11-16T09:53:22.136Z,Listened to Wake Me Up,,2018-11-16 09:53:22.136000+00:00,9
7624,Bert Kaempfert and His Orchestra,Google Play Music,['Google Play Music'],,2018-11-16T09:52:46.707Z,Listened to That Happy Feeling (Remastered 2016),,2018-11-16 09:52:46.707000+00:00,9
7625,Munich Symphony Orchestra,Google Play Music,['Google Play Music'],,2018-11-16T09:52:24.473Z,"Listened to Violin Concerto in D Major, Op. 77: I. Allegro Ma Non Troppo",,2018-11-16 09:52:24.473000+00:00,9
7626,Philharmonia Slavonica,Google Play Music,['Google Play Music'],,2018-11-15T20:06:16.772Z,"Listened to Violin Concerto in D Minor, Op. 47: III. Allegro, Ma Non Tanto",,2018-11-15 20:06:16.772000+00:00,20
7627,Philharmonia Slavonica,Google Play Music,['Google Play Music'],,2018-11-15T19:58:16.471Z,"Listened to Violin Concerto in D Minor, Op. 47: II. Adagio Di Molto",,2018-11-15 19:58:16.471000+00:00,19
7628,Philharmonia Slavonica,Google Play Music,['Google Play Music'],,2018-11-15T19:49:48.334Z,"Skipped Violin Concerto in D Minor, Op. 47: I. Allegro Moderato",,2018-11-15 19:49:48.334000+00:00,19
7629,Philharmonia Slavonica,Google Play Music,['Google Play Music'],,2018-11-15T19:49:48.248Z,"Listened to Violin Concerto in D Minor, Op. 47: I. Allegro Moderato",,2018-11-15 19:49:48.248000+00:00,19
7630,Camerata Romana,Google Play Music,['Google Play Music'],,2018-11-15T19:42:20.083Z,"Listened to Violin Concerto in E Major, BWV 1042: III. Allegro Assai",,2018-11-15 19:42:20.083000+00:00,19
7631,Camerata Romana,Google Play Music,['Google Play Music'],,2018-11-15T19:39:32.480Z,"Listened to Violin Concerto in E Major, BWV 1042: II. Adagio",,2018-11-15 19:39:32.480000+00:00,19
7632,Camerata Romana,Google Play Music,['Google Play Music'],,2018-11-15T19:32:27.857Z,"Listened to Violin Concerto in E Major, BWV 1042: I. Allegro",,2018-11-15 19:32:27.857000+00:00,19
7633,Slovak Philharmonic Orchestra,Google Play Music,['Google Play Music'],,2018-11-15T19:24:02.959Z,"Listened to Serenade No. 13 in G Major, K. 525 ""Eine Kleine Nachtmusik"": IV. Rondo - Allegro",,2018-11-15 19:24:02.959000+00:00,19
7634,Slovak Philharmonic Orchestra,Google Play Music,['Google Play Music'],,2018-11-15T19:20:39.305Z,"Listened to Serenade No. 13 in G Major, K. 525 ""Eine Kleine Nachtmusik"": III. Menuetto - Allegretto",,2018-11-15 19:20:39.305000+00:00,19
7635,Slovak Philharmonic Orchestra,Google Play Music,['Google Play Music'],,2018-11-15T19:18:20.387Z,"Listened to Serenade No. 13 in G Major, K. 525 ""Eine Kleine Nachtmusik"": II. Romanze - Andante",,2018-11-15 19:18:20.387000+00:00,19
7636,Slovak Philharmonic Orchestra,Google Play Music,['Google Play Music'],,2018-11-15T19:11:35.453Z,"Listened to Serenade No. 13 in G Major, K. 525 ""Eine Kleine Nachtmusik"": I. Allegro",,2018-11-15 19:11:35.453000+00:00,19
7637,Avicii,Google Play Music,['Google Play Music'],,2018-11-15T19:05:02.882Z,Listened to Addicted To You,,2018-11-15 19:05:02.882000+00:00,19
7638,Avicii,Google Play Music,['Google Play Music'],,2018-11-15T19:04:13.884Z,Skipped Hey Brother,,2018-11-15 19:04:13.884000+00:00,19
7639,Avicii,Google Play Music,['Google Play Music'],,2018-11-15T19:04:13.788Z,Listened to Hey Brother,,2018-11-15 19:04:13.788000+00:00,19
7640,Avicii,Google Play Music,['Google Play Music'],,2018-11-15T19:04:10.307Z,Listened to You Make Me,,2018-11-15 19:04:10.307000+00:00,19
7641,Avicii,Google Play Music,['Google Play Music'],,2018-11-15T15:58:45.884Z,Listened to Wake Me Up,,2018-11-15 15:58:45.884000+00:00,15
7642,The Prodigy,Google Play Music,['Google Play Music'],,2018-11-15T15:54:38.069Z,Listened to Timebomb Zone,,2018-11-15 15:54:38.069000+00:00,15
